datetime,peakQ,Rank i,F(y)
1976-10-01,2509,1,0.008928571
1993-10-01,4649,2,0.017857143
2000-10-01,4937,3,0.026785714
1987-10-01,5481,4,0.035714286
1975-10-01,5947,5,0.044642857
2007-10-01,7072,6,0.053571429
1965-10-01,7245,7,0.0625
1960-10-01,7378,8,0.071428571
1930-10-01,7920,9,0.080357143
1907-10-01,8460,10,0.089285714
1938-10-01,8500,11,0.098214286
1989-10-01,8909,12,0.107142857
1954-10-01,9380,13,0.116071429
1971-10-01,10174,14,0.125
1984-10-01,10474,15,0.133928571
1923-10-01,10600,16,0.142857143
1911-10-01,11300,17,0.151785714
2009-10-01,11311,18,0.160714286
1912-10-01,11600,19,0.169642857
1980-10-01,11672,20,0.178571429
1917-10-01,12400,21,0.1875
1943-10-01,12400,22,0.196428571
1932-10-01,12700,23,0.205357143
2001-10-01,12886,24,0.214285714
1958-10-01,12903,25,0.223214286
2002-10-01,12968,26,0.232142857
1933-10-01,13300,27,0.241071429
1986-10-01,14235,28,0.25
1928-10-01,14800,29,0.258928571
2003-10-01,15034,30,0.267857143
1991-10-01,15100,31,0.276785714
1963-10-01,15499,32,0.285714286
2014-10-01,15926,33,0.294642857
1978-10-01,16931,34,0.303571429
1947-10-01,17600,35,0.3125
1919-10-01,18800,36,0.321428571
1929-10-01,18800,37,0.330357143
1931-10-01,18900,38,0.339285714
1946-10-01,20100,39,0.348214286
2006-10-01,20443,40,0.357142857
1904-10-01,21200,41,0.366071429
1936-10-01,22500,42,0.375
1925-10-01,22700,43,0.383928571
1949-10-01,22800,44,0.392857143
1921-10-01,23200,45,0.401785714
2008-10-01,23402,46,0.410714286
2013-10-01,24099,47,0.419642857
1948-10-01,25500,48,0.428571429
1940-10-01,26900,49,0.4375
1977-10-01,27248,50,0.446428571
1967-10-01,27348,51,0.455357143
1952-10-01,27600,52,0.464285714
2004-10-01,28175,53,0.473214286
1974-10-01,29678,54,0.482142857
1922-10-01,29800,55,0.491071429
1956-10-01,29944,56,0.5
1988-10-01,30210,57,0.508928571
1951-10-01,30500,58,0.517857143
1961-10-01,31009,59,0.526785714
1990-10-01,31109,60,0.535714286
2011-10-01,31143,61,0.544642857
2012-10-01,32162,62,0.553571429
1945-10-01,32400,63,0.5625
1970-10-01,32773,64,0.571428571
1920-10-01,32800,65,0.580357143
1915-10-01,33200,66,0.589285714
1957-10-01,33871,67,0.598214286
1966-10-01,34937,68,0.607142857
1953-10-01,36500,69,0.616071429
1992-10-01,37599,70,0.625
1916-10-01,37600,71,0.633928571
1997-10-01,38927,72,0.642857143
1973-10-01,39596,73,0.651785714
1972-10-01,41260,74,0.660714286
1914-10-01,41800,75,0.669642857
2010-10-01,42719,76,0.678571429
1905-10-01,44500,77,0.6875
1918-10-01,45000,78,0.696428571
1935-10-01,46400,79,0.705357143
1999-10-01,46576,80,0.714285714
1909-10-01,47000,81,0.723214286
1983-10-01,47251,82,0.732142857
1998-10-01,48115,83,0.741071429
1926-10-01,48200,84,0.75
1995-10-01,49212,85,0.758928571
1934-10-01,49300,86,0.767857143
1941-10-01,54600,87,0.776785714
1913-10-01,57700,88,0.785714286
1959-10-01,60231,89,0.794642857
1994-10-01,61563,90,0.803571429
1982-10-01,65557,91,0.8125
1924-10-01,68200,92,0.821428571
1910-10-01,69100,93,0.830357143
1939-10-01,69600,94,0.839285714
1944-10-01,70900,95,0.848214286
1969-10-01,71215,96,0.857142857
1942-10-01,73800,97,0.866071429
1968-10-01,76540,98,0.875
1937-10-01,81100,99,0.883928571
1981-10-01,93847,100,0.892857143
1908-10-01,98000,101,0.901785714
1906-10-01,105000,102,0.910714286
1979-10-01,107493,103,0.919642857
1962-10-01,111820,104,0.928571429
1927-10-01,119000,105,0.9375
2005-10-01,127617,106,0.946428571
1950-10-01,132000,107,0.955357143
1964-10-01,137780,108,0.964285714
1955-10-01,139444,109,0.973214286
1985-10-01,153756,110,0.982142857
1996-10-01,209860,111,0.991071429
